,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
78,LP001079,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
79,LP001080,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
80,LP001081,Male,Yes,2,Graduate,No,2957,0,,360,1,Semiurban,Y
81,LP001082,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
82,LP001083,Male,No,0,Graduate,No,2014,1929,,360,1,Urban,Y
83,LP001084,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
84,LP001085,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
85,LP001086,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
86,LP001087,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
87,LP001088,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
88,LP001089,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
89,LP001090,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
90,LP001091,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
91,LP001092,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
92,LP001093,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
93,LP001094,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
94,LP001095,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
95,LP001096,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
96,LP001097,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
97,LP001098,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
98,LP001099,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
99,LP001100,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
100,LP001101,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
101,LP001102,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
102,LP001103,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
103,LP001104,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
104,LP001105,Male,Yes,3+,,No,3522,0,81,180,1,Rural,N
105,LP001106,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
106,LP001107,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
107,LP001108,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
108,LP001109,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
109,LP001110,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
110,LP001111,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N
111,LP001112,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
112,LP001113,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
113,LP001114,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
114,LP001115,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y
115,LP001116,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
116,LP001117,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
117,LP001118,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
118,LP001119,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
119,LP001120,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
120,LP001121,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
121,LP001122,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
122,LP001123,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
123,LP001124,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
124,LP001125,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
125,LP001126,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
126,LP001127,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
127,LP001128,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
128,LP001129,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
129,LP001130,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
130,LP001131,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
131,LP001132,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
132,LP001133,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
133,LP001134,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
134,LP001135,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
135,LP001136,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
136,LP001137,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
137,LP001138,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
138,LP001139,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
139,LP001140,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
140,LP001141,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
141,LP001142,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
142,LP001143,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
143,LP001144,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
144,LP001145,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
145,LP001146,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
146,LP001147,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
147,LP001148,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
148,LP001149,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
149,LP001150,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
150,LP001151,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
151,LP001152,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
152,LP001153,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N
153,LP001154,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
154,LP001155,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
155,LP001156,Male,Yes,1,Graduate,No,2882,,123,480,1,Semiurban,Y
156,LP001157,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
157,LP001158,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
158,LP001159,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y
159,LP001160,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
160,LP001161,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N
161,LP001162,Male,Yes,3+,Not Graduate,No,4931,0,128,360,,Semiurban,N
162,LP001163,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
163,LP001164,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
164,LP001165,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
165,LP001166,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
166,LP001167,Female,No,0,Graduate,,3418,0,135,360,1,Rural,N
167,LP001168,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y
168,LP001169,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
169,LP001170,Male,No,0,Graduate,No,,1857,126,360,1,Rural,Y
170,LP001171,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y
171,LP001172,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Y
172,LP001173,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
173,LP001174,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y
174,LP001175,Female,Yes,0,Not Graduate,No,4100,0,124,360,,Rural,Y
175,LP001176,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
176,LP001177,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
177,LP001178,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y
178,LP001179,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y
179,LP001180,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
180,LP001181,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Y
181,LP001182,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
182,LP001183,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
183,LP001184,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
184,LP001185,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
185,LP001186,Female,No,,Graduate,No,5417,0,143,480,0,Urban,N
186,LP001187,Male,Yes,3+,Graduate,,4416,1250,110,360,1,Urban,Y
187,LP001188,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
188,LP001189,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
189,LP001190,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N
190,LP001191,Male,Yes,,Not Graduate,No,2875,1750,105,360,1,Semiurban,Y
191,LP001192,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
192,LP001193,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
193,LP001194,Male,No,0,Graduate,No,4000,,140,360,1,Rural,Y
194,LP001195,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y
195,LP001196,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N
196,LP001197,Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,Y
197,LP001198,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y
198,LP001199,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
199,LP001200,Male,Yes,2,Graduate,Yes,5746,0,144,84,,Rural,Y
200,LP001201,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y
201,LP001202,Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Y
202,LP001203,Male,Yes,0,Graduate,No,2058,2134,88,360,,Urban,Y
203,LP001204,Female,No,1,Graduate,No,3541,0,112,360,,Semiurban,Y
204,LP001205,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y
205,LP001206,Male,Yes,3+,Graduate,No,4342,,124,360,1,Semiurban,Y
206,LP001207,Female,No,0,Graduate,No,3166,2985,132,360,,Rural,Y
207,LP001208,Male,No,0,Graduate,No,,0,130,360,0,Rural,Y
208,LP001209,Female,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
209,LP001210,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
210,LP001211,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
211,LP001212,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
212,LP001213,Male,No,,Graduate,No,2833,0,71,360,1,Urban,Y
213,LP001214,Male,Yes,,Graduate,Yes,5503,4490,70,,1,Semiurban,Y
214,LP001215,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
215,LP001216,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
216,LP001217,Male,Yes,3+,Not Graduate,No,3173,0,74,360,1,Semiurban,Y
217,LP001218,Male,Yes,2,Graduate,,2583,2330,125,360,1,Rural,Y
218,LP001219,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
219,LP001220,Male,Yes,3+,Graduate,No,2666,2083,95,360,1,Rural,Y
220,LP001221,Female,Yes,0,Graduate,Yes,,0,105,360,0,Rural,N
221,LP001222,Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,Y
222,LP001223,Female,No,,Graduate,No,3813,0,116,180,1,Urban,Y
223,LP001224,Male,Yes,1,Graduate,No,3875,0,67,360,1,Urban,N
224,LP001225,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,N
225,LP001226,Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,N
226,LP001227,Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,Y
227,LP001228,Male,Yes,0,Graduate,No,3013,3033,95,300,,Urban,Y
228,LP001229,Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Y
229,LP001230,Male,No,0,Not Graduate,No,6216,0,133,360,1,Rural,N
230,LP001231,Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,N
231,LP001232,Male,No,0,Graduate,No,5124,0,124,,0,Rural,N
232,LP001233,Male,No,1,Graduate,No,3062,,111,180,0,Urban,N
233,LP001234,Female,No,0,Graduate,,2764,1459,110,360,1,Urban,Y
234,LP001235,Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Y
235,LP001236,Male,Yes,3+,Graduate,No,8750,4996,130,360,1,Rural,Y
236,LP001237,Male,Yes,0,Graduate,No,4310,0,130,360,,Semiurban,Y
237,LP001238,Male,No,0,Graduate,No,3069,0,71,480,1,Urban,N
238,LP001239,Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
239,LP001240,Male,Yes,0,Graduate,,3333,2500,128,360,1,Semiurban,Y
240,LP001241,Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Y
241,LP001242,Male,Yes,2,Graduate,No,,0,100,360,1,Urban,N
242,LP001243,Male,No,1,Graduate,,3667,0,113,180,1,Urban,Y
243,LP001244,Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,Y
244,LP001245,Male,Yes,0,Graduate,No,2333,2417,,360,1,Urban,Y
245,LP001246,Male,Yes,0,Graduate,No,,0,125,360,1,Rural,Y
246,LP001247,Male,Yes,0,Graduate,No,2583,,120,360,,Urban,Y
247,LP001248,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
248,LP001249,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
249,LP001250,Male,Yes,2,Graduate,No,3276,484,135,360,,Semiurban,Y
250,LP001251,Female,No,0,Graduate,No,3180,0,71,360,0,Urban,N
251,LP001252,Male,Yes,0,Graduate,No,3033,1459,95,360,1,Urban,Y
252,LP001253,Male,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,Y
253,LP001254,Female,No,0,Graduate,No,1500,1800,103,360,0,Semiurban,N
254,LP001255,Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,N
255,LP001256,Male,No,0,Not Graduate,No,2755,0,65,300,1,Rural,N
256,LP001257,Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Y
257,LP001258,Female,No,0,Not Graduate,No,1963,0,53,360,1,Semiurban,Y
258,LP001259,Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,Y
259,LP001260,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,Y
260,LP001261,Female,No,0,Not Graduate,No,2213,0,66,360,1,Rural,Y
261,LP001262,Female,No,1,Not Graduate,Yes,3867,,62,360,1,Semiurban,N
262,LP001263,Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,Y
263,LP001264,Female,No,0,Graduate,No,2995,0,60,360,1,Urban,Y
264,LP001265,Male,Yes,0,Graduate,No,1025,2773,112,360,1,Rural,Y
265,LP001266,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y
266,LP001267,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
267,LP001268,Female,No,0,Not Graduate,No,2720,0,80,,0,Urban,N
268,LP001269,Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Y
269,LP001270,Male,Yes,1,Graduate,No,7250,1667,110,,0,Urban,N
270,LP001271,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Y
271,LP001272,Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,N
272,LP001273,Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,Y
273,LP001274,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
274,LP001275,Male,No,0,Not Graduate,No,2717,,60,180,1,Urban,Y
275,LP001276,Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Y
276,LP001277,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N
277,LP001278,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Y
278,LP001279,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y
279,LP001280,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y
280,LP001281,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y
281,LP001282,Male,No,3+,Not Graduate,No,4707,1993,148,360,1,Semiurban,Y
282,LP001283,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y
283,LP001284,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y
284,LP001285,Male,Yes,0,Graduate,,3539,1376,55,360,1,Rural,N
285,LP001286,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N
286,LP001287,Male,Yes,2,Not Graduate,No,2309,,125,360,0,Rural,N
287,LP001288,Male,Yes,2,Not Graduate,No,1958,1456,60,300,,Urban,Y
288,LP001289,Male,Yes,0,Graduate,No,3948,,149,360,0,Rural,N
289,LP001290,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Y
290,LP001291,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Y
291,LP001292,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y
292,LP001293,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Y
293,LP001294,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Y
294,LP001295,Male,Yes,3+,Graduate,No,7740,0,128,180,1,Urban,Y
295,LP001296,Female,No,1,Not Graduate,,5191,0,132,360,1,Semiurban,Y
296,LP001297,Male,No,0,,No,4166,0,98,360,0,Semiurban,N
297,LP001298,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y
298,LP001299,Male,Yes,3+,Not Graduate,No,2947,1664,70,180,0,Urban,N
299,LP001300,Female,Yes,2,Not Graduate,,210,2917,98,360,1,Semiurban,Y
300,LP001301,Male,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
301,LP001302,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,N
302,LP001303,Male,Yes,3+,Graduate,No,,0,100,360,1,Semiurban,Y
303,LP001304,Female,No,0,Graduate,Yes,2500,0,93,360,,Urban,Y
304,LP001305,,Yes,2,Graduate,No,2873,1872,132,360,0,Semiurban,N
305,LP001306,Male,Yes,3+,Not Graduate,No,3095,0,113,360,1,Rural,Y
306,LP001307,Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,Y
307,LP001308,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,Y
308,LP001309,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,N
309,LP001310,Male,No,0,Graduate,No,,0,75,360,1,Urban,N
310,LP001311,Male,No,0,Not Graduate,No,2699,2785,96,360,,Semiurban,Y
311,LP001312,Male,No,0,Not Graduate,No,3691,0,110,360,1,Rural,Y
312,LP001313,Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,N
313,LP001314,Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,Y
314,LP001315,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,Y
315,LP001316,Male,Yes,0,Graduate,No,4625,2857,111,12,,Urban,Y
316,LP001317,Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,Y
317,LP001318,Female,No,0,Graduate,No,645,3683,113,480,1,Rural,Y
318,LP001319,Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y
319,LP001320,Male,Yes,1,Not Graduate,No,4050,5302,138,360,,Rural,N
320,LP001321,Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,Y
321,LP001322,,No,0,Graduate,No,3583,0,96,360,1,Urban,N
322,LP001323,Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,N
323,LP001324,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y
324,LP001325,Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N
325,LP001326,Male,Yes,3+,Graduate,No,3466,3428,150,360,1,Rural,Y
326,LP001327,Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Y
327,LP001328,Male,Yes,,Not Graduate,No,3074,1800,123,360,0,Semiurban,N
328,LP001329,Female,No,0,Not Graduate,No,,0,95,360,1,Rural,N
329,LP001330,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y
330,LP001331,Male,No,0,,No,2500,0,55,360,1,Semiurban,Y
331,LP001332,Male,Yes,3+,Graduate,Yes,5677,1424,100,360,1,Rural,Y
